hhno	hhsize	hhvehs	hhwkrs	hhftw	hhptw	hhret	hhoad	hhuni	hhhsc	hh515	hhcu5	hhincome	hownrent	hrestype	hhparcel	hhtaz	hhexpfac	samptype
103846	2	2	0	0	0	2	0	0	0	0	0	17500	9	1	95488	24420	312.625	1
103923	2	3	2	2	0	0	0	0	0	0	0	-1	9	1	96111	24614	77.9312	1
104207	4	2	2	2	0	0	0	0	0	2	0	87500	9	1	98039	25036	121.7663	1
104212	2	2	1	1	0	1	0	0	0	0	0	125000	9	1	96343	24802	449.6522	1
104316	1	1	1	1	0	0	0	0	0	0	0	62500	9	1	94450	24216	35.5544	1
104647	2	2	0	0	0	0	2	0	0	0	0	125000	9	1	65802	18210	28.4755	1
104656	1	1	1	1	0	0	0	0	0	0	0	30000	9	1	65279	18035	733.2581	1
104899	1	1	0	0	0	1	0	0	0	0	0	37500	9	1	66692	18229	101.0027	1
104900	3	1	1	1	0	0	2	0	0	0	0	87500	9	1	66835	18234	399.11	1
104915	2	1	1	1	0	0	0	0	0	1	0	87500	9	3	66609	18227	146.4536	1
105152	2	2	2	2	0	0	0	0	0	0	0	125000	9	1	69116	18813	37.0753	1
105196	2	1	0	0	0	2	0	0	0	0	0	37500	9	1	70291	19024	63.1584	1
105258	2	2	1	1	0	0	1	0	0	0	0	-1	9	1	68200	18614	30.7999	1
105567	5	3	1	1	0	0	1	0	0	1	2	125000	9	1	58734	15603	223.2883	1
105666	2	2	0	0	0	2	0	0	0	0	0	30000	9	3	59157	15617	124.821	1
105824	2	2	1	1	0	0	1	0	0	0	0	17500	9	1	63275	16208	158.1791	1
105889	3	2	2	2	0	0	0	0	0	0	1	125000	9	1	63886	16221	76.9365	1
105995	1	1	0	0	0	0	1	0	0	0	0	17500	9	1	64017	16224	99.2763	1
106054	2	2	1	0	1	1	0	0	0	0	0	62500	9	1	60524	15816	86.9534	1
106085	2	2	1	0	1	1	0	0	0	0	0	125000	9	1	60222	15807	91.5661	1
106313	1	2	1	1	0	0	0	0	0	0	0	37500	9	1	57423	15228	148.6062	1
106434	3	2	1	1	0	1	0	0	1	0	0	62500	9	1	55899	14638	719.2548	1
106452	2	2	0	0	0	1	0	1	0	0	0	275000	9	3	55864	14636	114.884	1
106462	2	2	2	1	1	0	0	0	0	0	0	125000	9	1	55811	14633	177.41400000000002	1
106667	2	2	2	2	0	0	0	0	0	0	0	87500	9	1	54697	14437	68.113	1
106832	2	2	1	1	0	1	0	0	0	0	0	62500	9	1	56320	14813	89.1893	1
106945	2	2	1	0	1	0	1	0	0	0	0	87500	9	1	56184	14810	53.9755	1
106959	3	3	1	1	0	1	1	0	0	0	0	175000	9	1	55041	14610	210.4633	1
106963	2	2	0	0	0	1	1	0	0	0	0	125000	9	1	55042	14610	60.0449	1
107001	2	2	2	1	1	0	0	0	0	0	0	62500	9	2	55362	14620	203.6197	1
107047	1	1	0	0	0	0	1	0	0	0	0	37500	9	2	55517	14625	87.9388	1
107084	1	1	1	1	0	0	0	0	0	0	0	125000	9	3	57890	15244	213.3314	1
107307	2	2	0	0	0	2	0	0	0	0	0	-1	9	1	58393	15412	39.7276	1
107343	1	3	1	1	0	0	0	0	0	0	0	275000	9	3	61954	16026	187.0683	1
107345	5	3	3	1	1	0	0	1	0	2	0	175000	9	1	62155	16031	382.3255	1
107432	1	1	0	0	0	0	1	0	0	0	0	87500	9	1	62828	16047	43.0067	1
107493	1	1	0	0	0	1	0	0	0	0	0	62500	9	1	61848	16021	71.0637	1
107653	2	2	2	2	0	0	0	0	0	0	0	175000	9	3	57516	15231	1009.1246	1
107798	1	1	1	1	0	0	0	0	0	0	0	37500	9	3	35834	8010	482.9108	1
107805	3	2	2	2	0	0	0	1	0	0	0	62500	9	1	35836	8010	118.5198	1
107923	1	2	0	0	0	1	0	0	0	0	0	-1	9	3	35342	7820	73.42	1
107997	1	1	1	0	1	0	0	0	0	0	0	87500	9	1	36894	8216	60.9864	1
108089	2	2	0	0	0	1	1	0	0	0	0	62500	9	1	36272	8201	112.9065	1
108137	2	2	0	0	0	2	0	0	0	0	0	37500	9	1	37017	8402	54.4939	1
108198	4	4	4	4	0	0	0	0	0	0	0	62500	9	1	37189	8410	585.6911	1
108318	1	1	1	0	1	0	0	0	0	0	0	5000	9	3	31776	7044	330.3014	1
108759	3	2	3	3	0	0	0	0	0	0	0	87500	9	3	32401	7210	217.0211	1
108857	3	3	1	1	0	0	1	0	0	1	0	87500	9	1	32312	7208	93.6142	1
108901	4	3	3	1	1	0	0	2	0	0	0	175000	9	1	32725	7220	67.7821	1
108918	3	3	2	2	0	0	0	0	0	1	0	225000	9	1	32910	7227	304.3931	1
109088	5	3	2	0	2	0	3	0	0	0	0	37500	9	2	33794	7412	276.7605	1
109144	6	3	3	1	1	0	0	0	1	2	1	125000	9	1	28278	6016	535.2679	1
109201	3	3	3	3	0	0	0	0	0	0	0	87500	9	1	28379	6203	147.0312	1
109353	2	2	2	2	0	0	0	0	0	0	0	225000	9	1	29812	6617	252.0446	1
109412	2	2	0	0	0	2	0	0	0	0	0	-1	9	3	34374	7431	234.5488	1
109458	2	2	1	1	0	0	1	0	0	0	0	125000	9	1	28642	6213	27.4899	1
109487	3	1	2	2	0	0	0	0	0	0	1	62500	9	2	23359	4442	457.4376	1
109608	2	2	0	0	0	2	0	0	0	0	0	125000	9	1	23637	4451	117.491	1
109638	3	2	1	1	0	1	1	0	0	0	0	125000	9	2	23294	4440	114.4317	1
109822	5	2	2	0	2	0	0	0	0	3	0	-1	9	2	22824	4423	207.7691	1
109830	1	1	0	0	0	1	0	0	0	0	0	62500	9	2	22778	4422	63.3107	1
109840	2	2	2	2	0	0	0	0	0	0	0	87500	9	2	22777	4422	112.027	1
110116	1	1	0	0	0	0	1	0	0	0	0	37500	9	3	20328	4204	46.8596	1
110408	1	1	0	0	0	0	1	0	0	0	0	-1	9	1	19735	4041	55.9443	1
110633	3	3	2	2	0	0	1	0	0	0	0	125000	9	1	25250	4812	160.9399	1
110887	3	3	2	2	0	0	1	0	0	0	0	87500	9	1	26771	5025	77.6487	1
110902	2	3	1	1	0	0	1	0	0	0	0	-1	9	1	27051	5033	214.055	1
110937	2	2	2	2	0	0	0	0	0	0	0	125000	9	1	26601	5020	129.7629	1
110999	2	2	2	2	0	0	0	0	0	0	0	125000	9	1	26433	5014	104.0768	1
111106	1	1	1	1	0	0	0	0	0	0	0	-1	9	1	27506	5047	47.7586	1
111118	2	2	1	1	0	0	1	0	0	0	0	62500	9	2	27500	5047	258.1018	1
111123	2	2	1	1	0	1	0	0	0	0	0	175000	9	1	27344	5043	179.4934	1
111149	3	3	2	2	0	0	1	0	0	0	0	175000	9	1	35995	8019	274.4076	1
111253	2	2	2	0	1	0	0	0	1	0	0	-1	9	3	24415	4607	509.8116	1
111323	2	1	0	0	0	2	0	0	0	0	0	30000	9	3	24249	4601	94.2616	1
111411	3	3	3	3	0	0	0	0	0	0	0	175000	9	3	25534	4820	877.4458	1
111423	2	2	2	1	1	0	0	0	0	0	0	125000	9	2	25534	4820	322.5308	1
111448	2	2	0	0	0	1	1	0	0	0	0	-1	9	1	47537	11829	21.3745	1
111569	3	2	1	1	0	0	1	0	1	0	0	-1	9	1	46980	11803	113.0726	1
111772	2	2	2	1	1	0	0	0	0	0	0	62500	9	1	45472	11606	39.6745	1
111777	4	4	4	3	0	0	0	0	1	0	0	125000	9	1	45594	11610	69.8973	1
111913	2	2	1	0	1	1	0	0	0	0	0	125000	9	1	46789	11645	165.4244	1
112028	6	1	2	0	1	0	0	2	0	3	0	125000	9	1	48102	12002	946.5956	1
112031	4	4	1	1	0	0	1	0	0	2	0	87500	9	1	48118	12002	110.396	1
112143	1	1	0	0	0	1	0	0	0	0	0	30000	9	3	49397	12207	96.6092	1
112228	2	2	1	0	1	0	1	0	0	0	0	-1	9	1	49846	12219	235.8216	1
112278	3	2	2	2	0	1	0	0	0	0	0	87500	9	2	49335	12205	511.7276	1
112292	3	2	2	1	1	0	0	1	0	0	0	62500	9	1	49596	12213	116.176	1
112325	4	2	2	1	1	0	0	0	0	1	1	87500	9	1	49114	12201	163.8401	1
112361	1	1	0	0	0	1	0	0	0	0	0	-1	9	1	50681	12244	66.9831	1
112554	2	2	2	2	0	0	0	0	0	0	0	125000	9	2	51749	12422	457.1464	1
112703	2	2	2	2	0	0	0	0	0	0	0	87500	9	3	40956	10440	66.0958	1
112721	2	3	2	2	0	0	0	0	0	0	0	175000	9	1	40917	10438	129.3278	1
112743	2	2	1	1	0	1	0	0	0	0	0	87500	9	2	40851	10435	413.3992	1
112860	2	1	1	1	0	0	1	0	0	0	0	37500	9	3	40422	10425	856.5776	1
112880	2	1	2	2	0	0	0	0	0	0	0	125000	9	3	40341	10424	210.9168	1
112887	1	0	0	0	0	0	1	0	0	0	0	30000	9	2	40269	10422	36.062	1
113187	2	1	0	0	0	2	0	0	0	0	0	30000	9	1	38017	10002	36.4926	1
113201	2	1	2	2	0	0	0	0	0	0	0	275000	9	1	37945	10001	176.9229	1
113218	2	2	2	2	0	0	0	0	0	0	0	225000	9	1	38850	10038	92.8015	1
113356	1	1	1	1	0	0	0	0	0	0	0	125000	9	2	39183	10210	35.9245	1
113649	3	2	2	2	0	0	0	0	0	1	0	225000	9	1	46621	11639	330.2397	1
113651	1	1	0	0	0	0	1	0	0	0	0	5000	9	2	46633	11639	327.0156	1
113831	2	2	1	0	1	1	0	0	0	0	0	30000	9	1	45334	11428	292.9049	1
113899	3	2	1	1	0	0	1	0	0	0	1	125000	9	2	44083	11201	124.7427	1
114239	2	2	1	1	0	1	0	0	0	0	0	-1	9	1	50967	12253	372.7278	1
114354	1	0	0	0	0	1	0	0	0	0	0	17500	9	3	1102	122	79.4708	1
114442	2	0	1	1	0	0	0	1	0	0	0	37500	9	3	796	62	381.2769	1
114555	1	0	1	1	0	0	0	0	0	0	0	62500	9	3	684	41	705.2125	1
114694	1	0	0	0	0	1	0	0	0	0	0	37500	9	2	552	27	108.4648	1
114729	1	1	0	0	0	1	0	0	0	0	0	37500	9	2	509	24	125.5126	1
114736	2	1	2	2	0	0	0	0	0	0	0	87500	9	2	299	9	43.6024	1
114877	1	0	1	1	0	0	0	0	0	0	0	62500	9	2	5894	844	48.091	1
114934	2	0	0	0	0	0	0	2	0	0	0	62500	9	2	5287	826	64.119	1
115001	4	2	1	1	0	0	1	1	0	1	0	37500	9	2	5364	829	378.59	1
115014	2	0	1	1	0	0	1	0	0	0	0	87500	9	2	5499	834	569.9458	1
115288	2	0	1	1	0	0	1	0	0	0	0	37500	9	2	5019	819	597.0209	1
115291	1	0	1	1	0	0	0	0	0	0	0	17500	9	1	5043	819	77.839	1
115402	1	1	0	0	0	1	0	0	0	0	0	30000	9	2	4903	815	711.4483	1
115687	2	1	2	2	0	0	0	0	0	0	0	225000	9	2	6518	1016	76.321	1
115885	3	2	1	1	0	0	1	1	0	0	0	125000	9	2	6661	1027	585.5964	1
115948	1	0	0	0	0	0	0	1	0	0	0	30000	9	3	6619	1024	149.7889	1
116267	4	0	0	0	0	0	3	0	0	1	0	62500	9	3	7819	1228	141.2813	1
116334	2	1	1	1	0	1	0	0	0	0	0	125000	9	1	12021	2211	415.6923	1
116485	1	0	0	0	0	0	0	1	0	0	0	-1	9	3	1599	137	27.6316	1
116545	1	2	1	0	1	0	0	0	0	0	0	62500	9	3	1742	141	119.5772	1
116549	1	0	1	0	0	0	0	1	0	0	0	30000	9	3	1747	141	135.8355	1
116566	2	0	2	2	0	0	0	0	0	0	0	125000	9	2	1767	142	53.262	1
116643	1	1	0	0	0	0	1	0	0	0	0	30000	9	2	1257	128	74.2966	1
116812	2	3	0	0	0	0	2	0	0	0	0	37500	9	2	3516	607	74.9971	1
116912	1	0	0	0	0	1	0	0	0	0	0	17500	9	2	3059	430	296.8417	1
116921	1	0	0	0	0	1	0	0	0	0	0	5000	9	2	3122	432	121.4219	1
116971	1	0	0	0	0	1	0	0	0	0	0	17500	9	3	12434	2414	79.6109	1
117524	2	2	2	2	0	0	0	0	0	0	0	175000	9	2	16482	3207	225.5281	1
117886	1	1	1	1	0	0	0	0	0	0	0	62500	9	2	12804	2431	113.1314	1
118882	1	1	0	0	0	1	0	0	0	0	0	17500	9	2	10302	1613	147.0515	1
119523	2	1	0	0	0	2	0	0	0	0	0	62500	9	2	17118	3406	36.7547	1
201224	1	1	1	1	0	0	0	0	0	0	0	87500	9	1	33062	7232	113.5039	1
202374	1	1	1	0	1	0	0	0	0	0	0	17500	9	2	7652	1224	84.8482	1
203809	2	3	2	2	0	0	0	0	0	0	0	175000	9	1	42851	11004	53.3548	1
204033	3	3	2	1	1	0	0	0	0	0	1	87500	9	1	59837	15633	177.7923	1
205090	1	1	1	1	0	0	0	0	0	0	0	125000	9	1	31263	7025	123.9521	1
205748	3	0	2	1	0	0	1	0	1	0	0	17500	9	2	84755	22072	316.9741	1
206472	2	0	1	1	0	0	1	0	0	0	0	62500	9	2	1780	142	103.7356	1
206580	3	2	1	1	0	0	1	0	0	1	0	225000	9	1	77079	20424	81.1032	1
207638	2	1	1	1	0	0	0	0	0	1	0	87500	9	2	29928	6622	407.8385	1
208991	1	1	1	1	0	0	0	0	0	0	0	87500	9	2	16678	3212	36.8124	1
209034	2	1	1	1	0	0	1	0	0	0	0	62500	9	2	12702	2426	132.7273	1
211852	1	1	1	1	0	0	0	0	0	0	0	37500	9	2	10003	1605	52.6434	1
213495	1	0	0	0	0	1	0	0	0	0	0	-1	9	1	37500	8426	152.0838	1
214275	2	1	2	1	1	0	0	0	0	0	0	37500	9	3	760	54	110.7022	1
214734	2	2	2	1	1	0	0	0	0	0	0	-1	9	1	31693	7042	179.3673	1
215395	2	2	1	0	0	0	0	2	0	0	0	87500	9	1	86285	22240	32.9846	1
216185	1	1	0	0	0	1	0	0	0	0	0	17500	9	4	97540	25018	322.2504	1
216558	2	5	2	2	0	0	0	0	0	0	0	175000	9	1	70030	19006	39.689	1
221512	2	2	1	0	1	1	0	0	0	0	0	62500	9	1	51723	12421	246.47400000000002	1
224405	2	2	0	0	0	1	1	0	0	0	0	62500	9	2	32503	7213	107.0625	1
225506	2	1	1	1	0	0	1	0	0	0	0	37500	9	3	22214	4404	299.7473	1
225735	1	0	0	0	0	0	0	1	0	0	0	-1	9	3	878	85	27.6316	1
227519	1	2	1	1	0	0	0	0	0	0	0	275000	9	1	62848	16048	526.229	1
228930	3	5	2	2	0	1	0	0	0	0	0	175000	9	1	71667	20035	602.5912	1
229114	1	1	0	0	0	1	0	0	0	0	0	17500	9	2	16083	3029	158.8274	1
229797	3	1	2	2	0	0	0	0	1	0	0	175000	9	2	544	27	332.4011	1
230324	1	1	0	0	0	0	1	0	0	0	0	62500	9	2	82315	22014	335.33	1
230366	2	2	0	0	0	2	0	0	0	0	0	62500	9	1	50642	12243	24.2004	1
232509	4	2	1	1	0	0	1	0	0	0	2	125000	9	1	44480	11210	87.6961	1
233010	4	2	3	3	0	0	0	0	0	1	0	175000	9	1	75079	20245	138.3517	1
234710	5	3	2	2	0	0	1	0	1	1	0	62500	9	1	44736	11407	299.5454	1
235096	2	0	2	2	0	0	0	0	0	0	0	87500	9	1	12664	2424	40.5951	1
237104	2	2	0	0	0	2	0	0	0	0	0	37500	9	3	25597	4821	104.4505	1
238714	4	3	3	3	0	1	0	0	0	0	0	275000	9	1	51556	12414	962.3678	1
239613	4	2	2	1	1	0	0	0	0	2	0	225000	9	1	86322	22241	82.8194	1
242805	1	0	1	0	0	0	0	1	0	0	0	30000	9	3	55313	14618	91.0319	1
243504	1	0	0	0	0	1	0	0	0	0	0	37500	9	3	718	47	57.1417	1
243525	1	1	0	0	0	1	0	0	0	0	0	62500	9	2	39859	10405	251.0447	1
243706	1	0	1	0	1	0	0	0	0	0	0	17500	9	2	16672	3211	64.8377	1
244669	1	1	1	0	1	0	0	0	0	0	0	37500	9	3	30709	7009	169.0727	1
244868	2	2	1	1	0	0	1	0	0	0	0	17500	9	3	83356	22040	1429.2613	1
244920	2	2	0	0	0	2	0	0	0	0	0	30000	9	4	79021	20636	29.9577	1
245160	1	1	0	0	0	0	1	0	0	0	0	17500	9	3	22286	4406	223.0741	1
245572	1	1	0	0	0	1	0	0	0	0	0	-1	9	2	11753	2203	56.0851	1
245590	2	2	0	0	0	2	0	0	0	0	0	175000	9	1	69131	18813	140.067	1
246516	2	2	2	1	1	0	0	0	0	0	0	-1	9	1	43793	11035	35.0055	1
247427	3	2	2	1	1	0	0	0	0	0	1	125000	9	1	50870	12251	407.6986	1
248719	1	0	1	1	0	0	0	0	0	0	0	125000	9	3	167	6	239.3677	1
249938	5	4	3	3	0	1	0	0	0	1	0	62500	9	1	93842	24042	77.6046	1
249976	2	1	1	1	0	0	1	0	0	0	0	87500	9	2	10962	1816	614.8757	1
250045	1	0	0	0	0	0	1	0	0	0	0	5000	9	3	46979	11803	870.6341	1
250170	5	2	2	1	1	0	0	0	0	3	0	87500	9	1	34403	7432	56.4231	1
251551	3	1	2	1	1	0	0	0	0	0	1	-1	9	2	23089	4432	449.1191	1
252058	2	1	1	0	1	1	0	0	0	0	0	30000	9	1	7659	1224	715.0458	1
252493	1	1	0	0	0	1	0	0	0	0	0	5000	9	6	89082	22604	91.5476	1
252652	1	0	0	0	0	0	1	0	0	0	0	17500	9	2	13151	2603	682.0193	1
254951	3	2	3	3	0	0	0	0	0	0	0	125000	9	2	38330	10013	63.922	1
256365	1	1	0	0	0	0	0	1	0	0	0	62500	9	2	12933	2435	33.5573	1
257454	1	1	1	1	0	0	0	0	0	0	0	37500	9	3	69646	18826	328.9832	1
257710	2	2	1	1	0	1	0	0	0	0	0	37500	9	1	32690	7219	33.7521	1
257992	2	1	2	2	0	0	0	0	0	0	0	87500	9	3	6520	1016	144.3297	1
258987	1	1	0	0	0	1	0	0	0	0	0	62500	9	2	66046	18215	38.0426	1
261661	2	3	2	1	1	0	0	0	0	0	0	125000	9	1	80658	20819	39.4704	1
262809	2	2	0	0	0	2	0	0	0	0	0	62500	9	1	18298	4003	69.727	1
263253	1	1	1	1	0	0	0	0	0	0	0	62500	9	1	26687	5023	255.5986	1
265859	2	1	0	0	0	2	0	0	0	0	0	37500	9	1	57764	15239	138.4933	1
266949	1	1	1	0	1	0	0	0	0	0	0	-1	9	1	47087	11811	117.6304	1
267467	2	2	2	2	0	0	0	0	0	0	0	125000	9	3	24	2	90.3684	1
267490	5	2	3	2	0	0	0	1	0	2	0	62500	9	2	89398	22610	964.4532	1
268238	4	2	2	2	0	0	0	0	0	2	0	125000	9	1	73638	20204	261.752	1
268881	1	1	0	0	0	0	0	1	0	0	0	17500	9	3	6652	1027	161.2589	1
268985	2	5	0	0	0	2	0	0	0	0	0	125000	9	1	40156	10418	19.0754	1
273109	4	2	2	2	0	0	0	0	0	2	0	125000	9	1	56133	14808	91.9621	1
273628	2	1	1	1	0	0	0	1	0	0	0	17500	9	3	67992	18606	3153.8867	1
273647	2	2	0	0	0	1	1	0	0	0	0	175000	9	1	39150	10208	90.6092	1
274502	2	2	1	1	0	0	0	1	0	0	0	62500	9	2	5321	828	623.2453	1
274550	3	2	0	0	0	2	1	0	0	0	0	225000	9	1	41991	10630	18.3823	1
276059	1	1	1	1	0	0	0	0	0	0	0	125000	9	3	87442	22413	1095.0776	1
276547	3	3	3	2	1	0	0	0	0	0	0	125000	9	1	86879	22401	348.2211	1
277435	3	1	2	2	0	0	0	0	0	0	1	87500	9	2	6524	1016	337.5027	1
277654	3	1	1	0	1	0	0	0	0	2	0	17500	9	1	72710	20070	905.9069999999999	1
278883	4	0	3	2	0	0	1	1	0	0	0	37500	9	2	7004	1206	177.7017	1
279153	1	0	0	0	0	0	1	0	0	0	0	17500	9	3	41564	10615	154.562	1
279802	1	1	0	0	0	0	0	1	0	0	0	87500	9	2	34946	7801	59.14	1
279958	2	2	0	0	0	1	1	0	0	0	0	-1	9	1	22779	4422	64.4892	1
280563	2	3	1	1	0	1	0	0	0	0	0	125000	9	1	90082	22630	112.7289	1
281109	1	1	1	1	0	0	0	0	0	0	0	175000	9	2	31786	7044	221.6967	1
281228	1	1	1	1	0	0	0	0	0	0	0	62500	9	3	383	11	105.7563	1
281569	3	3	3	3	0	0	0	0	0	0	0	87500	9	2	59619	15629	73.2475	1
283987	1	0	0	0	0	1	0	0	0	0	0	30000	9	2	83323	22039	616.9888	1
284599	1	1	0	0	0	1	0	0	0	0	0	37500	9	1	77146	20425	358.5383	1
285000	1	2	1	1	0	0	0	0	0	0	0	30000	9	2	15850	3020	178.47799999999998	1
286783	1	1	1	1	0	0	0	0	0	0	0	37500	9	2	97	4	52.5821	1
287513	1	1	1	1	0	0	0	0	0	0	0	62500	9	1	26084	5005	66.5256	1
287759	2	2	1	1	0	0	1	0	0	0	0	125000	9	1	33573	7408	27.1473	1
290426	4	2	1	1	0	0	1	0	0	2	0	125000	9	3	74322	20227	133.0409	1
291064	2	2	2	1	1	0	0	0	0	0	0	125000	9	1	95447	24419	321.1586	1
292017	2	0	2	2	0	0	0	0	0	0	0	175000	9	2	220	7	144.1842	1
296169	2	1	0	0	0	2	0	0	0	0	0	62500	9	3	27915	6004	158.836	1
296654	2	0	2	2	0	0	0	0	0	0	0	87500	9	1	659	39	52.5655	1
298653	1	0	0	0	0	0	0	1	0	0	0	5000	9	3	854	72	169.9709	1
300098	1	0	1	0	1	0	0	0	0	0	0	62500	9	3	21831	4249	136.3456	1
300173	2	3	2	1	1	0	0	0	0	0	0	175000	9	1	70565	20007	329.6498	1
300215	1	1	1	0	1	0	0	0	0	0	0	225000	9	3	27333	5042	120.6733	1
300263	1	2	0	0	0	1	0	0	0	0	0	30000	9	1	50414	12236	29.8422	1
300278	1	1	0	0	0	1	0	0	0	0	0	17500	9	3	15183	2822	252.9368	1
300335	1	1	0	0	0	1	0	0	0	0	0	37500	9	1	50816	12249	48.8719	1
300367	2	3	0	0	0	2	0	0	0	0	0	87500	9	1	24757	4619	60.0679	1
300455	5	2	0	0	0	0	2	1	1	1	0	275000	9	1	24467	4608	134.9183	1
300546	4	2	1	1	0	0	1	0	0	2	0	225000	9	1	27053	5033	115.9594	1
300581	2	2	2	2	0	0	0	0	0	0	0	62500	9	3	42345	10809	67.6179	1
300605	1	2	1	1	0	0	0	0	0	0	0	62500	9	2	11463	2018	59.5858	1
300748	1	2	0	0	0	1	0	0	0	0	0	37500	9	1	76255	20283	51.6964	1
300809	2	2	0	0	0	2	0	0	0	0	0	125000	9	1	70068	19008	18.4982	1
300858	5	3	3	2	1	0	0	0	1	1	0	87500	9	1	84816	22201	1789.9163	1
300892	2	1	2	2	0	0	0	0	0	0	0	125000	9	3	561	28	99.0835	1
300974	1	1	0	0	0	1	0	0	0	0	0	37500	9	2	30830	7015	115.4944	1
300984	1	1	0	0	0	0	1	0	0	0	0	17500	9	3	43342	11023	96.3485	1
301140	2	2	1	0	1	1	0	0	0	0	0	-1	9	1	49587	12213	217.1941	1
301340	2	2	0	0	0	2	0	0	0	0	0	62500	9	1	30951	7019	143.9091	1
301411	2	2	1	1	0	0	0	1	0	0	0	275000	9	1	37414	8420	207.0798	1
301462	5	4	2	1	1	0	1	0	0	2	0	125000	9	1	32348	7208	197.5699	1
301499	2	2	2	2	0	0	0	0	0	0	0	125000	9	1	14365	2645	187.1524	1
301557	2	1	0	0	0	2	0	0	0	0	0	30000	9	2	22188	4404	97.691	1
301942	1	1	1	1	0	0	0	0	0	0	0	17500	9	3	13276	2607	785.953	1
302010	1	0	0	0	0	1	0	0	0	0	0	17500	9	3	11639	2023	97.9647	1
302029	4	2	2	1	1	0	0	0	0	2	0	125000	9	1	26817	5027	214.3197	1
302222	1	1	0	0	0	1	0	0	0	0	0	30000	9	2	5499	834	214.5273	1
302264	4	2	2	0	2	0	0	0	1	1	0	62500	9	1	50980	12253	69.1796	1
302324	1	1	0	0	0	1	0	0	0	0	0	30000	9	1	33500	7405	149.9577	1
302399	2	2	0	0	0	0	2	0	0	0	0	-1	9	2	50898	12252	29.6033	1
302402	1	1	0	0	0	0	1	0	0	0	0	37500	9	3	36092	8023	57.1746	1
